sentence,sentiment,topic,sentence_final,sentence_segmented,len_original,len_final,len_segmented
cô rất tận tình giúp đỡ chúng em trong học tập .,2,0,cô rất tận tình giúp đỡ chúng em trong học tập .,cô rất tận_tình giúp_đỡ chúng_em trong học_tập .,12,12,8
thầy giảng quá nhanh .,0,0,thầy giảng quá nhanh .,thầy giảng quá nhanh .,5,5,5
"ngược lại đề thi nên cho những câu hỏi khó , nhưng thời gian thi rộng để sinh viên có thời gian động não suy nghĩ các giải tăng được tư duy suy luận và sáng tạo hơn là khả năng học thuộc bài như kiểu trên thích hợp cho ngành khác .",0,1,ngược lại đề thi nên cho những câu hỏi khó nhưng thời gian thi rộng để sinh viên có thời gian động não suy nghĩ các giải tăng được tư duy suy luận và sáng tạo hơn là khả năng học thuộc bài như kiểu trên thích hợp cho ngành khác .,ngược_lại đề_thi nên cho những câu hỏi khó nhưng thời_gian thi rộng để sinh_viên có thời_gian động_não suy_nghĩ các giải tăng được tư_duy suy_luận và sáng_tạo hơn là khả_năng học thuộc bài như kiểu trên thích_hợp cho ngành khác .,53,52,40
"thầy giảng chậm lại , từ dễ tới khó để học sinh tiếp thu tốt hơn .",0,0,thầy giảng chậm lại từ dễ tới khó để học sinh tiếp thu tốt hơn .,thầy giảng chậm lại từ dễ tới khó để học_sinh tiếp_thu tốt hơn .,17,16,14
rất hài lòng !,2,3,rất hài lòng,rất hài_lòng,4,3,2
đề thực hành hay và khó .,2,1,đề thực hành hay và khó .,đề thực_hành hay và khó .,7,7,6
"giáo viên giảng dạy nhiệt tình , tận tâm , dạy hay , dễ hiểu .",2,0,giáo viên giảng dạy nhiệt tình tận tâm dạy hay dễ hiểu .,giáo_viên giảng_dạy nhiệt_tình tận_tâm dạy hay dễ hiểu .,16,13,9
không truyền tải hết nội dung chương trình .,0,0,không truyền tải hết nội dung chương trình .,không truyền_tải hết nội_dung chương_trình .,9,9,6
giảng dạy nhiệt tình tâm huyết .,2,0,giảng dạy nhiệt tình tâm huyết .,giảng_dạy nhiệt_tình tâm_huyết .,7,7,4
lịch thực hành ban ra quá trễ !,0,1,lịch thực hành ban ra quá trễ,lịch thực_hành ban ra quá trễ,8,7,6
không .,1,3,không .,không .,2,2,2
"chưa nhận thấy có điểm nào chưa tốt , sinh viên học môn này từ cô wzjwz85 rất vui và tiếp thu bài rất tốt .",2,0,chưa nhận thấy có điểm nào chưa tốt sinh viên học môn này từ cô rất vui và tiếp thu bài rất tốt .,chưa nhận thấy có điểm nào chưa tốt sinh_viên học môn này từ cô rất vui và tiếp_thu bài rất tốt .,26,24,22
"giảng viên có phong cách giảng dạy chưa phù hợp , khiến sinh viên cảm thấy xa rời với nội dung môn học .",0,0,giảng viên có phong cách giảng dạy chưa phù hợp khiến sinh viên cảm thấy xa rời với nội dung môn học .,giảng_viên có phong_cách giảng_dạy chưa phù_hợp khiến sinh_viên cảm_thấy xa_rời với nội_dung môn_học .,24,23,14
công dụng nó là gì ?,0,0,công dụng nó là gì,công_dụng nó là gì,6,5,4
"bộ kit thực hành cần được nâng cấp để không xảy ra tình trạng hư , trục trặc .",0,2,bộ kit thực hành cần được nâng cấp để không xảy ra tình trạng hư trục trặc .,bộ kit thực_hành cần được nâng_cấp để không xảy ra tình_trạng hư trục_trặc .,19,18,14
"bài tập thì không còn như thời cấp 3 chỉ có vài dạng cơ bản , số lượng cũng như độ khó ngày càng tăng , thời gian của sinh viên cũng chẳng phải dư dả , sinh viên cũng cần phải đầu tư cho các môn học khác , nên cách đưa ra những công thức trọng tâm , những bài tập cần và đủ của thầy khiến em một nữ sinh viên cảm thấy hứng thú hơn khi học vật lý , một học dường như chỉ dành cho các bạn nam .",0,1,bài tập thì không còn như thời cấp 3 chỉ có vài dạng cơ bản số lượng cũng như độ khó ngày càng tăng thời gian của sinh viên cũng chẳng phải dư dả sinh viên cũng cần phải đầu tư cho các môn học khác nên cách đưa ra những công thức trọng tâm những bài tập cần và đủ của thầy khiến em một nữ sinh viên cảm thấy hứng thú hơn khi học vật lý một học dường như chỉ dành cho các bạn nam .,bài_tập thì không còn như thời cấp 3 chỉ có vài dạng cơ_bản số_lượng cũng như độ khó ngày_càng tăng thời_gian của sinh_viên cũng chẳng phải dư_dả sinh_viên cũng cần phải đầu_tư cho các môn_học khác nên cách đưa ra những công_thức trọng_tâm những bài_tập cần và đủ của thầy khiến em một nữ sinh_viên cảm_thấy hứng_thú hơn khi học vật_lý một học dường_như chỉ dành cho các bạn nam .,95,89,71
thầy nhiệt tình ở chỗ giảng dạy nhiều thứ cho sinh viên .,2,0,thầy nhiệt tình ở chỗ giảng dạy nhiều thứ cho sinh viên .,thầy nhiệt_tình ở chỗ giảng_dạy nhiều thứ cho sinh_viên .,13,13,10
cô rất nhiệt tình chu đáo .,2,0,cô rất nhiệt tình chu đáo .,cô rất nhiệt_tình chu_đáo .,7,7,5
"nhiệt tình , biết cách truyền đạt .",2,0,nhiệt tình biết cách truyền đạt .,nhiệt_tình biết cách truyền_đạt .,8,7,5
chưa nêu bật được ứng dụng thực tiễn của môn học .,0,1,chưa nêu bật được ứng dụng thực tiễn của môn học .,chưa nêu bật được ứng_dụng thực_tiễn của môn_học .,12,12,9
"giảng viên gần gũi , giúp đỡ sinh viên rất nhiều trong học tập trên lớp .",2,0,giảng viên gần gũi giúp đỡ sinh viên rất nhiều trong học tập trên lớp .,giảng_viên gần_gũi giúp_đỡ sinh_viên rất nhiều trong học_tập trên lớp .,17,16,11
"giảng viên dạy thực hành là wzjwz235 , không phải wzjwz236 !",0,0,giảng viên dạy thực hành là không phải,giảng_viên dạy thực_hành là không phải,12,8,6
"giảng viên muốn cho bọn em hiểu được môi trường làm việc sau này là như thế nào , nhưng khi mà bọn còn đang trong thời gian đi học , còn chưa đủ kiến thức nền tảng thì không nên dạy và học theo kiểu như vậy , trong suốt quá trình môn học bọn em mơ hồ về việc thầy đang muốn truyền đạt điều gì đến bọn em và việc bọn em cần phải làm những gì !",0,0,giảng viên muốn cho bọn em hiểu được môi trường làm việc sau này là như thế nào nhưng khi mà bọn còn đang trong thời gian đi học còn chưa đủ kiến thức nền tảng thì không nên dạy và học theo kiểu như vậy trong suốt quá trình môn học bọn em mơ hồ về việc thầy đang muốn truyền đạt điều gì đến bọn em và việc bọn em cần phải làm những gì,giảng_viên muốn cho bọn em hiểu được môi_trường làm_việc sau_này là như_thế_nào nhưng khi mà bọn còn đang trong thời_gian đi học còn chưa đủ kiến_thức nền_tảng thì không nên dạy và học theo kiểu như_vậy trong suốt quá_trình môn_học bọn em mơ_hồ về việc thầy đang muốn truyền_đạt điều gì đến bọn em và việc bọn em cần phải làm những gì,81,77,63
em thấy số buổi thực hành quá ít và kiến thức truyền tải chẳng được bao nhiêu vì vậy nên mong trường đổi về hình thức 1 các môn thực hành này !,0,1,em thấy số buổi thực hành quá ít và kiến thức truyền tải chẳng được bao nhiêu vì vậy nên mong trường đổi về hình thức 1 các môn thực hành này,em thấy số buổi thực_hành quá ít và kiến_thức truyền_tải chẳng được bao_nhiêu vì_vậy nên mong_trường đổi về hình_thức 1 các môn thực_hành này,33,32,24
nhìn thấy hơi nghiêm ( khách quan thôi ạ ) .,1,0,nhìn thấy hơi nghiêm khách quan thôi ạ .,nhìn thấy hơi nghiêm khách_quan thôi ạ .,11,9,8
dạy nhanh quá .,0,0,dạy nhanh quá .,dạy nhanh quá .,4,4,4
em rất hài lòng về hoạt động giảng dạy của thầy .,2,0,em rất hài lòng về hoạt động giảng dạy của thầy .,em rất hài_lòng về hoạt_động giảng_dạy của thầy .,12,12,9
giảng bài nhựa nhựa nghe buồn ngủ .,0,0,giảng bài nhựa nhựa nghe buồn ngủ .,giảng bài nhựa nhựa nghe buồn_ngủ .,8,8,7
nhiều thử thách cho sinh viên .,0,1,nhiều thử thách cho sinh viên .,nhiều thử_thách cho sinh_viên .,7,7,5
"giảng viên lên lớp đúng giờ , tận tâm với sinh viên và nhiệt tình giảng dạy , hướng dẫn .",2,0,giảng viên lên lớp đúng giờ tận tâm với sinh viên và nhiệt tình giảng dạy hướng dẫn .,giảng_viên lên lớp đúng giờ tận_tâm với sinh_viên và nhiệt_tình giảng_dạy hướng_dẫn .,21,19,13
cô cần cải thiện khả năng truyền đạt trên lớp để sinh viên có thêm hứng thú trong học tập .,0,0,cô cần cải thiện khả năng truyền đạt trên lớp để sinh viên có thêm hứng thú trong học tập .,cô cần cải_thiện khả_năng truyền_đạt trên lớp để sinh_viên có thêm hứng_thú trong học_tập .,21,21,15
"rồi một nhóm thì phải chấm điểm báo cáo cuối kỳ cho 3 nhóm khác , làm phiếu chấm điểm , soạn câu hỏi mà có yêu cầu ra đáp án đồ án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ .",0,3,rồi một nhóm thì phải chấm điểm báo cáo cuối kỳ cho 3 nhóm khác làm phiếu chấm điểm soạn câu hỏi mà có yêu cầu ra đáp án đồ án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ .,rồi một nhóm thì phải chấm điểm báo_cáo cuối kỳ cho 3 nhóm khác làm phiếu chấm điểm soạn câu hỏi mà có yêu_cầu ra đáp_án đồ_án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ .,54,52,48
tình hình là khóa 8 aep tụi em đa số là không hiểu ngôn ngữ c .,0,1,tình hình là khóa 8 aep tụi em đa số là không hiểu ngôn ngữ c .,tình_hình là khóa 8 aep tụi em đa_số là không hiểu ngôn_ngữ c .,17,17,14
giáo trình chưa phù hợp với lượng tín chỉ môn học !,0,0,giáo trình chưa phù hợp với lượng tín chỉ môn học,giáo_trình chưa phù_hợp với lượng tín chỉ môn_học,12,11,8
thầy khá nhiệt tình và rõ ràng .,2,0,thầy khá nhiệt tình và rõ ràng .,thầy khá nhiệt_tình và rõ_ràng .,8,8,6
thầy dạy nội dung ít liên quan tới bài học .,0,0,thầy dạy nội dung ít liên quan tới bài học .,thầy dạy nội_dung ít liên_quan tới bài_học .,11,11,8
giáo viên hướng dẫn rất nhiệt tình .,2,0,giáo viên hướng dẫn rất nhiệt tình .,giáo_viên hướng_dẫn rất nhiệt_tình .,8,8,5
"thầy đến đúng giờ , giảng dễ hiểu .",2,0,thầy đến đúng giờ giảng dễ hiểu .,thầy đến đúng giờ giảng dễ hiểu .,9,8,8
không hiệu quả .,0,3,không hiệu quả .,không hiệu_quả .,4,4,3
"giáo viên là thầy , không phải cô .",1,0,giáo viên là thầy không phải cô .,giáo_viên là thầy không phải cô .,9,8,7
"dạy rất dễ hiểu và nhiệt tình , em rất thích cách giảng dạy của cô .",2,3,dạy rất dễ hiểu và nhiệt tình em rất thích cách giảng dạy của cô .,dạy rất dễ hiểu và nhiệt_tình em rất thích cách giảng_dạy của cô .,17,16,14
đó là sự nhiệt huyết của cô wzjwz153 .,2,0,đó là sự nhiệt huyết của cô .,đó là sự nhiệt_huyết của cô .,9,8,7
"bài tập hay , đa dạng .",2,1,bài tập hay đa dạng .,bài_tập hay đa_dạng .,7,6,4
"cô giảng dễ hiểu , nhiệt tình .",2,0,cô giảng dễ hiểu nhiệt tình .,cô giảng dễ hiểu nhiệt_tình .,8,7,6
"tận tình , rất biết quan tâm đến học sinh .",2,0,tận tình rất biết quan tâm đến học sinh .,tận_tình rất biết quan_tâm đến học_sinh .,11,10,7
"thầy rất nhiệt tình , tận tâm với sinh viên .",2,0,thầy rất nhiệt tình tận tâm với sinh viên .,thầy rất nhiệt_tình tận_tâm với sinh_viên .,11,10,7
"thầy dạy rất tốt và tâm huyết , phương pháp hợp lý và nội dung giảng dạy tạo hứng thú cho sinh viên .",2,0,thầy dạy rất tốt và tâm huyết phương pháp hợp lý và nội dung giảng dạy tạo hứng thú cho sinh viên .,thầy dạy rất tốt và tâm_huyết phương_pháp hợp_lý và nội_dung giảng_dạy tạo hứng_thú cho sinh_viên .,24,23,16
giáo viên đứng lớp dạy rất hay .,2,0,giáo viên đứng lớp dạy rất hay .,giáo_viên đứng_lớp dạy rất hay .,8,8,6
tóm lại đề thi 50% là kiến thức về mạng chủ yếu không tập trung vào hệ điều hành linux .,0,1,tóm lại đề thi 50 là kiến thức về mạng chủ yếu không tập trung vào hệ điều hành linux .,tóm_lại đề_thi 50 là kiến_thức về mạng chủ_yếu không tập_trung vào hệ điều_hành linux .,21,21,15
cô điểm danh nhiều quá colonsad .,0,0,cô điểm danh nhiều quá colonsad .,cô điểm_danh nhiều quá colonsad .,7,7,6
"thầy vui vẻ , giúp đỡ nhiệt tình .",2,0,thầy vui vẻ giúp đỡ nhiệt tình .,thầy vui_vẻ giúp_đỡ nhiệt_tình .,9,8,5
"thầy tận tâm , nhiệt tình dạy dễ hiểu .",2,0,thầy tận tâm nhiệt tình dạy dễ hiểu .,thầy tận_tâm nhiệt_tình dạy dễ hiểu .,10,9,7
giảng viên thực hành nên quan tâm đến sinh viên nhiều hơn .,0,0,giảng viên thực hành nên quan tâm đến sinh viên nhiều hơn .,giảng_viên thực_hành nên quan_tâm đến sinh_viên nhiều hơn .,13,13,9
thầy không thông báo thời gian học cụ thể cho sinh viên .,0,0,thầy không thông báo thời gian học cụ thể cho sinh viên .,thầy không thông_báo thời_gian học cụ_thể cho sinh_viên .,13,13,9
dạy chán .,0,0,dạy chán .,dạy chán .,3,3,3
thầy rất nhiệt tình và thường xuyên dạy lố giờ .,0,0,thầy rất nhiệt tình và thường xuyên dạy lố giờ .,thầy rất nhiệt_tình và thường_xuyên dạy lố giờ .,11,11,9
"thầy vui vẻ , dễ trao đổi học tập .",2,0,thầy vui vẻ dễ trao đổi học tập .,thầy vui_vẻ dễ trao_đổi học_tập .,10,9,6
"giáo viên tận tình , nhiệt tình trong việc cung cấp tài liệu và bài tập qua facebook .",2,0,giáo viên tận tình nhiệt tình trong việc cung cấp tài liệu và bài tập qua facebook .,giáo_viên tận_tình nhiệt_tình trong việc cung_cấp tài_liệu và bài_tập qua facebook .,19,18,12
thầy giảng quá nhanh !,0,0,thầy giảng quá nhanh,thầy giảng quá nhanh,5,4,4
"thầy nói nhỏ , giờ học khá nhàm chán .",0,0,thầy nói nhỏ giờ học khá nhàm chán .,thầy nói nhỏ giờ học khá nhàm_chán .,10,9,8
"giáo viên tâm huyết , nhiệt tình .",2,0,giáo viên tâm huyết nhiệt tình .,giáo_viên tâm_huyết nhiệt_tình .,8,7,4
"cô wzjwz103 dạy rất hay , rất nhiệt tình , cách dạy của cô cũng rất lý thú , tạo sự hứng thú cho sinh viên .",2,0,cô dạy rất hay rất nhiệt tình cách dạy của cô cũng rất lý thú tạo sự hứng thú cho sinh viên .,cô dạy rất hay rất nhiệt_tình cách dạy của cô cũng rất lý_thú tạo sự hứng_thú cho sinh_viên .,27,23,19
cung cấp cho sinh viên đủ bài tập khi đến lớp cũng như làm ở nhà .,2,0,cung cấp cho sinh viên đủ bài tập khi đến lớp cũng như làm ở nhà .,cung_cấp cho sinh_viên đủ bài_tập khi đến lớp cũng như làm ở nhà .,17,17,14
"giảng viên dạy dễ hiểu , thân thiên với sinh viên .",2,0,giảng viên dạy dễ hiểu thân thiên với sinh viên .,giảng_viên dạy dễ hiểu thân_thiên với sinh_viên .,12,11,8
"nhiệt tình , kỹ năng dạy kinh nghiệm .",2,0,nhiệt tình kỹ năng dạy kinh nghiệm .,nhiệt_tình kỹ_năng dạy kinh_nghiệm .,9,8,5
thầy nên chủ động hơn trong việc giúp đỡ sinh viên trong lúc thực hành .,0,0,thầy nên chủ động hơn trong việc giúp đỡ sinh viên trong lúc thực hành .,thầy nên chủ_động hơn trong việc giúp_đỡ sinh_viên trong lúc thực_hành .,16,16,12
phòng học thực hành wzjwz18 không đảm bảo chất lượng cho việc học thực hành .,0,2,phòng học thực hành không đảm bảo chất lượng cho việc học thực hành .,phòng học thực_hành không đảm_bảo chất_lượng cho việc học thực_hành .,16,15,11
"giáo viên giảng rõ , dễ hiểu .",2,0,giáo viên giảng rõ dễ hiểu .,giáo_viên giảng rõ dễ hiểu .,8,7,6
"học cực kỳ áp lực , thầy dạy khó hiểu .",0,0,học cực kỳ áp lực thầy dạy khó hiểu .,học cực_kỳ áp_lực thầy dạy khó hiểu .,11,10,8
"thầy không chịu dạy thực hành , nên cũng rất chán khi học thực hành , nói chung là không ai đi học thực hành là do thầy không dạy tốt , thực ra thì chưa dạy gì cả .",0,0,thầy không chịu dạy thực hành nên cũng rất chán khi học thực hành nói chung là không ai đi học thực hành là do thầy không dạy tốt thực ra thì chưa dạy gì cả .,thầy không chịu dạy thực_hành nên cũng rất chán khi học thực_hành nói_chung là không ai đi học thực_hành là do thầy không dạy tốt thực_ra thì chưa dạy gì cả .,40,37,32
"môn học cần được phân bố hợp lý hơn , nên để năm 4 rồi học .",0,1,môn học cần được phân bố hợp lý hơn nên để năm 4 rồi học .,môn_học cần được phân_bố hợp_lý hơn nên để năm 4 rồi học .,17,16,13
hiện giờ em chưa có cách học đúng đắng .,0,3,hiện giờ em chưa có cách học đúng đắng .,hiện_giờ em chưa có cách học đúng đắng .,10,10,9
"giảng hay , nhiệt tình .",2,0,giảng hay nhiệt tình .,giảng hay nhiệt_tình .,6,5,4
"thầy lên lớp rất đầy đủ , không nghỉ buổi nào .",2,0,thầy lên lớp rất đầy đủ không nghỉ buổi nào .,thầy lên lớp rất đầy_đủ không nghỉ buổi nào .,12,11,10
cô nhiệt tình dạy rất dễ hiêu .,2,0,cô nhiệt tình dạy rất dễ hiêu .,cô nhiệt_tình dạy rất dễ hiêu .,8,8,7
giải đáp các thắc mắc nhanh và chi tiết .,2,0,giải đáp các thắc mắc nhanh và chi tiết .,giải_đáp các thắc_mắc nhanh và chi_tiết .,10,10,7
"ra đề thi còn cẩu thả , không kiểm soát được các đáp án của câu hỏi .",0,1,ra đề thi còn cẩu thả không kiểm soát được các đáp án của câu hỏi .,ra đề_thi còn cẩu_thả không kiểm_soát được các đáp_án của câu hỏi .,18,17,13
"cần chỉ cho sinh viên cách làm bài khó , không nên giải chi tiết .",0,2,cần chỉ cho sinh viên cách làm bài khó không nên giải chi tiết .,cần chỉ cho sinh_viên cách làm bài khó không nên giải chi_tiết .,16,15,13
"cung cấp thêm giáo trình , tài liệu môn học .",0,1,cung cấp thêm giáo trình tài liệu môn học .,cung_cấp thêm giáo_trình tài_liệu môn_học .,11,10,6
tránh tình trạng bị trùng lịch học và gom lớp vào sáng thứ 7 gây mất buổi học của sinh viên .,0,1,tránh tình trạng bị trùng lịch học và gom lớp vào sáng thứ 7 gây mất buổi học của sinh viên .,tránh tình_trạng bị trùng lịch_học và gom lớp vào sáng thứ 7 gây mất buổi học của sinh_viên .,22,22,19
nhiều bài quá .,0,1,nhiều bài quá .,nhiều bài quá .,4,4,4
phương pháp dạy của thầy hay khiến sinh viên chủ động và tránh sinh viên ngủ trong lớp .,2,0,phương pháp dạy của thầy hay khiến sinh viên chủ động và tránh sinh viên ngủ trong lớp .,phương_pháp dạy của thầy hay khiến sinh_viên chủ_động và tránh sinh_viên ngủ trong lớp .,19,19,15
"thầy giảng dạy nhiệt tình , tương tác rất hiệu quả , cung cấp nền tảng kiến thức rõ ràng , vững vàng cho lớp .",2,0,thầy giảng dạy nhiệt tình tương tác rất hiệu quả cung cấp nền tảng kiến thức rõ ràng vững vàng cho lớp .,thầy giảng_dạy nhiệt_tình tương_tác rất hiệu_quả cung_cấp nền_tảng kiến_thức rõ_ràng vững_vàng cho lớp .,26,23,14
thầy nói chuyện chưa nghe rõ cho lắm .,0,0,thầy nói chuyện chưa nghe rõ cho lắm .,thầy nói_chuyện chưa nghe rõ cho lắm .,9,9,8
thầy chỉ làm việc của thầy .,0,0,thầy chỉ làm việc của thầy .,thầy chỉ làm_việc của thầy .,7,7,6
đôi lúc sợ sợ thầy colonsad .,0,0,đôi lúc sợ sợ thầy colonsad .,đôi_lúc sợ sợ thầy colonsad .,7,7,6
chúc thầy nhiều sức khỏe !,2,3,chúc thầy nhiều sức khỏe,chúc thầy nhiều sức khỏe,6,5,5
"thầy dạy dễ hiểu , nhiệt tình .",2,0,thầy dạy dễ hiểu nhiệt tình .,thầy dạy dễ hiểu nhiệt_tình .,8,7,6
"ít được giao tiếp với giảng viên , giảng viên ít khi lên lớp .",0,0,ít được giao tiếp với giảng viên giảng viên ít khi lên lớp .,ít được giao_tiếp với giảng_viên giảng_viên ít khi lên lớp .,15,14,11
cách dạy hoàn toàn không phù hợp ( giảng viên tuy có kiến thức nhưng không có cách truyền đạt ) .,0,0,cách dạy hoàn toàn không phù hợp giảng viên tuy có kiến thức nhưng không có cách truyền đạt .,cách dạy hoàn_toàn không phù_hợp giảng_viên tuy có kiến_thức nhưng không có cách truyền_đạt .,22,20,15
"giảng viên dạy hay , thu hút , tận tâm với sinh viên .",2,0,giảng viên dạy hay thu hút tận tâm với sinh viên .,giảng_viên dạy hay thu_hút tận_tâm với sinh_viên .,14,12,8
thầy dạy tốt em thích thầy .,2,0,thầy dạy tốt em thích thầy .,thầy dạy tốt em thích thầy .,7,7,7
"môn học còn khá nặng nề , không ứng dụng thực tiễn cũng như không phục vụ cho chuyên nghành , theo em nghĩ , môn giải tích thật sự không cần thiết lắm .",0,1,môn học còn khá nặng nề không ứng dụng thực tiễn cũng như không phục vụ cho chuyên nghành theo em nghĩ môn giải tích thật sự không cần thiết lắm .,môn_học còn khá nặng_nề không ứng_dụng thực_tiễn cũng như không phục_vụ cho chuyên_ngành theo em nghĩ môn giải_tích thật_sự không cần_thiết lắm .,35,32,23
"có vài máy hư trong phòng thực hành , cần khắc phục lại .",0,2,có vài máy hư trong phòng thực hành cần khắc phục lại .,có vài máy hư trong phòng thực_hành cần khắc_phục lại .,14,13,11
"giảng viên có khả năng truyền đạt cực tốt , em cực thích .",2,0,giảng viên có khả năng truyền đạt cực tốt em cực thích .,giảng_viên có khả_năng truyền_đạt cực tốt em cực thích .,14,13,10
"cần theo dõi sinh viên kỹ càng hơn , điểm danh thường xuyên .",0,0,cần theo dõi sinh viên kỹ càng hơn điểm danh thường xuyên .,cần theo_dõi sinh_viên kỹ_càng hơn điểm_danh thường_xuyên .,14,13,8
chương trình học về môn học này rất hợp lý cho sinh viên .,2,1,chương trình học về môn học này rất hợp lý cho sinh viên .,chương_trình học về môn_học này rất hợp_lý cho sinh_viên .,14,14,10
thường xuyên cho bài tập về nhà để củng cố kiến thức cho sinh viên .,2,0,thường xuyên cho bài tập về nhà để củng cố kiến thức cho sinh viên .,thường_xuyên cho bài_tập về nhà để củng_cố kiến_thức cho sinh_viên .,16,16,11
không có điều gì !,1,3,không có điều gì,không có điều gì,5,4,4
"thầy không sử dụng micro khi giảng bài , em nghe không rõ bài giảng .",0,0,thầy không sử dụng micro khi giảng bài em nghe không rõ bài giảng .,thầy không sử_dụng micro khi giảng bài em nghe không rõ bài giảng .,16,15,14
phòng thực hành chưa có chất lượng .,0,2,phòng thực hành chưa có chất lượng .,phòng thực_hành chưa có chất_lượng .,8,8,6
"môn học liên hệ thực tế , liên kết với đồ án hơn .",0,1,môn học liên hệ thực tế liên kết với đồ án hơn .,môn_học liên_hệ thực_tế liên_kết với đồ_án hơn .,14,13,8
giáo viên giảng dạy dễ hiểu và tận tâm .,2,0,giáo viên giảng dạy dễ hiểu và tận tâm .,giáo_viên giảng_dạy dễ hiểu và tận_tâm .,10,10,7
thầy nói ngoài lề hơi nhiều .,0,0,thầy nói ngoài lề hơi nhiều .,thầy nói ngoài lề hơi nhiều .,7,7,7
thường xuyên dạy quá giờ .,0,0,thường xuyên dạy quá giờ .,thường_xuyên dạy quá giờ .,6,6,5
"giảng viên nhiệt tình , bài tập đa dạng , phương pháp học thú vị .",2,0,giảng viên nhiệt tình bài tập đa dạng phương pháp học thú vị .,giảng_viên nhiệt_tình bài_tập đa_dạng phương_pháp học thú_vị .,16,14,8
"cần thay đổi , bổ sung các chương trình hỗ trợ thực hành trên máy .",0,1,cần thay đổi bổ sung các chương trình hỗ trợ thực hành trên máy .,cần thay_đổi bổ_sung các chương_trình hỗ_trợ thực_hành trên máy .,16,15,10
em có ý kiến là hãy thi môn này trên máy tính với phần mềm vẽ chúng .,0,1,em có ý kiến là hãy thi môn này trên máy tính với phần mềm vẽ chúng .,em có ý_kiến là hãy thi_môn này trên máy_tính với phần_mềm vẽ chúng .,18,18,14
là người cô rất có tâm .,2,0,là người cô rất có tâm .,là người cô rất có tâm .,7,7,7
"giảng viên rất tận tâm , nỗ lực trong việc giảng dạy .",2,0,giảng viên rất tận tâm nỗ lực trong việc giảng dạy .,giảng_viên rất tận_tâm nỗ_lực trong việc giảng_dạy .,13,12,8
"thầy rất tận tâm , về lý thuyết thầy giảng rất hay và tuyệt đối , song về bài tập thì ngược lại , thầy nói chỉ sơ qua , như là mặc định các sinh viên đều đã biết tính toán .",0,0,thầy rất tận tâm về lý thuyết thầy giảng rất hay và tuyệt đối song về bài tập thì ngược lại thầy nói chỉ sơ qua như là mặc định các sinh viên đều đã biết tính toán .,thầy rất tận_tâm về lý_thuyết thầy giảng rất hay và tuyệt_đối song về bài_tập thì ngược_lại thầy nói chỉ sơ_qua như là mặc_định các sinh_viên đều đã biết tính_toán .,43,39,30
em có thêm một số đề nghị để cải tiến doubledot thêm kênh để trao đổi cho môn học .,0,0,em có thêm một số đề nghị để cải tiến thêm kênh để trao đổi cho môn học .,em có thêm một_số đề_nghị để cải_tiến thêm kênh để trao_đổi cho môn_học .,20,19,14
chưa có tài liệu học tập cho sinh viên .,0,1,chưa có tài liệu học tập cho sinh viên .,chưa có tài_liệu học_tập cho sinh_viên .,10,10,7
thầy tạo điều kiện cho sinh viên học tập và rất nhiệt tình giảng dạy .,2,0,thầy tạo điều kiện cho sinh viên học tập và rất nhiệt tình giảng dạy .,thầy tạo điều_kiện cho sinh_viên học_tập và rất nhiệt_tình giảng_dạy .,16,16,11
nội dung của phần thực hành thật ra quá ít cho với đồ án .,0,1,nội dung của phần thực hành thật ra quá ít cho với đồ án .,nội_dung của phần thực_hành thật_ra quá ít cho với đồ_án .,15,15,11
nhiệt tình và rất chú tâm trong công việc giảng dạy đối với sinh viên .,2,0,nhiệt tình và rất chú tâm trong công việc giảng dạy đối với sinh viên .,nhiệt_tình và rất chú_tâm trong công_việc giảng_dạy đối_với sinh_viên .,16,16,10
giảng viên luôn đến đúng giờ .,2,0,giảng viên luôn đến đúng giờ .,giảng_viên luôn đến đúng giờ .,7,7,6
thầy dạy quá khó hiểu .,0,0,thầy dạy quá khó hiểu .,thầy dạy quá khó hiểu .,6,6,6
cần cải thiện nhiều .,0,3,cần cải thiện nhiều .,cần cải_thiện nhiều .,5,5,4
giảng viên không hướng dẫn nhiều cũng như không quan sát theo dõi quá trình thực hành của sinh viên .,0,0,giảng viên không hướng dẫn nhiều cũng như không quan sát theo dõi quá trình thực hành của sinh viên .,giảng_viên không hướng_dẫn nhiều cũng như không quan_sát theo_dõi quá_trình thực_hành của sinh_viên .,21,21,14
cô cầm micro hơi sát nên nghe hơi nhói tai một xíu ( tích cực ) .,0,0,cô cầm micro hơi sát nên nghe hơi nhói tai một xíu tích cực .,cô cầm micro hơi sát nên nghe hơi nhói_tai một xíu tích_cực .,17,15,13
số thời gian thầy nghỉ rất nhiều và không báo trước cho sinh viên .,0,0,số thời gian thầy nghỉ rất nhiều và không báo trước cho sinh viên .,số thời_gian thầy nghỉ rất nhiều và không báo trước cho sinh_viên .,15,15,13
"còn bình thường đến lớp thầy chỉ làm việc trên máy của thầy , không nói gì cả .",0,0,còn bình thường đến lớp thầy chỉ làm việc trên máy của thầy không nói gì cả .,còn bình_thường đến lớp thầy chỉ làm_việc trên máy của thầy không nói gì cả .,19,18,16
